Ghost_Name,Algorithm,Search_Time(s),Expanded_Nodes,Memory_Usage(MB),Ghost_Pos_X,Ghost_Pos_Y,Pacman_Pos_X,Pacman_Pos_Y
RedGhost,A*,0.000000,18,0.009344,24,26,19,15
OrangeGhost,UCS,0.003491,198,0.022656,8,29,19,15
PinkGhost,DFS,0.001544,66,0.021272,28,5,19,14
BlueGhost,BFS,0.007694,289,0.028872,6,4,19,14
RedGhost,A*,0.000000,17,0.009624,24,25,19,14
OrangeGhost,UCS,0.005605,226,0.024288,9,29,19,14
PinkGhost,DFS,0.001544,66,0.021272,28,5,19,14
BlueGhost,BFS,0.007257,272,0.027784,6,4,19,14
RedGhost,A*,0.000000,17,0.009624,24,25,19,14
OrangeGhost,UCS,0.005605,226,0.024288,9,29,19,14
PinkGhost,DFS,0.001544,66,0.021272,28,5,19,14
BlueGhost,BFS,0.007257,272,0.027784,6,4,19,14
RedGhost,A*,0.000000,17,0.009624,24,25,19,14
OrangeGhost,UCS,0.005605,226,0.024288,9,29,19,14
PinkGhost,DFS,0.001078,66,0.021064,28,6,19,13
BlueGhost,BFS,0.007257,272,0.027784,6,5,19,13
RedGhost,A*,0.000000,17,0.009400,24,24,19,13
OrangeGhost,UCS,0.008605,251,0.026136,10,29,19,13
PinkGhost,DFS,0.001078,66,0.021064,28,6,19,13
BlueGhost,BFS,0.008239,249,0.027120,6,5,19,12
RedGhost,A*,0.000000,18,0.009792,24,24,19,12
